pattern, link, description, category
Dumpling Kitty,http://www.amigurumi.com/Cats/Dumpling-Kitty/,Dumpling Kitty is a cute pudgy kitty whose body is crocheted with a flat base so she sits nicely wherever you place her  waiting patiently for treats!,Cats
Pikachu (,http://www.amigurumi.com/Cartoons-and-Games/Pikachu-Pokemon/,Please note that this is a crochet pattern (PDF file)  but not a toy. This crochet pattern contains a detailed description of how to create Pikachu  with a great amount of step-by-step photos and a list of necessary materials.Pikachu – character from popular franchise “Pokemon” that is managed by The Pokémon Company  a Japanese consortium between Nintendo  Game Freak  and Creatures.Materials needed to create a 3.75-inches (9.5 cm) tall toy:– hooks: 1.00 and 1.25 mm (but you can use any hooks you want  just find a proper yarn for it)– yarn: “Iris” by Kirov Yarn Mills (150 meters / 25 grams)  100% cotton– sewing needle– stuffing materialYou are allowed to sell toys  crocheted with this pattern  in small amounts  provided that you credit the author and add a link to the relevant web page. If you publish photos of the toys you made with this pattern  crediting the author is always welcome.Photo by Kate Koleshchuk.,Cartoons & Games
Noel the Christmas Mouse,http://www.amigurumi.com/Other-Animals/Noel-the-Christmas-Mouse/,Noel loves all things Christmas! Most of all he is super excited to join his other friends in decorating the Christmas tree.,Other Animals
happy little chub-bee bumblebee,http://www.amigurumi.com/Other-Animals/happy-little-chub-bee-bumblebee/, ,Other Animals
neko atsume,http://www.amigurumi.com/Cats/neko-atsume/, ,Cats
Asher the Ox,http://www.amigurumi.com/Other-Animals/Asher-the-Ox/,Little Asher is feeling all excited to celebrate all the wonderful things he gets to experience and being surrounded by his loving family.,Other Animals
Great White shark,http://www.amigurumi.com/Sea-Animals/Great-White-shark/, ,Sea Animals
swinging monkey,http://www.amigurumi.com/Safari-Animals/swinging-monkey/, ,Safari Animals
pusheen with donut,http://www.amigurumi.com/Cats/pusheen-with-donut/, ,Cats
1Up Mushroom (,http://www.amigurumi.com/Cartoons-and-Games/1Up-Mushroom-Super-Mario-World/,1Up Mushroom – character of the popular game “Super Mario World”  that was developed and released by Nintendo Co.  Ltd.Materials needed to create a 2.36-inches (6 cm) tall toy:– hooks: 1.25 mm (but you can use any hooks you want  just find a proper yarn for it)– yarn: “Camomile” by Kirov Yarn Mills (320 meters / 75 grams)  100% cotton– sewing needle– stuffing materialYou are allowed to sell 1Up Mushroom  crocheted with this pattern  in small amounts  provided that you credit the pattern’s author and add a link to the pattern’s web page.This pattern is for personal use only. Sharing information from this pattern is prohibited. If you publish the photos of the toys you made with this pattern  crediting the author is always welcome.Photo(s) by Kate Koleshchuk and Olka Novytska.Thank you for stopping by! Enjoy your stay!,Cartoons & Games
Bubbles the Jellyfish,http://www.amigurumi.com/Sea-Animals/Bubbles-the-Jellyfish/,To make a jellyfish of your own  you will need the following materials...- 2.75 mm (size C) crochet hook. - 3 ply yarn in desired colors. - 7 mm safety eyes. - Yarn needle. - Polyester fiberfill stuffing. You will need to be familiar with the basic crochet stitches  sewing parts together  and how to read written crochet patterns. This pattern is in US terms. You are welcome to sell finished products from my pattern but please credit me as the designer. This pattern took many hours to design so please DO NOT sell my pattern in part or whole. This pattern is for personal use only. Feel free to contact me if you have any questions.,Sea Animals
european robin,http://www.amigurumi.com/Birds/european-robin/, ,Birds
The sleepy fox,http://www.amigurumi.com/Forest-Animals/The-sleepy-fox/, ,Forest Animals
bow the kitten,http://www.amigurumi.com/Cats/bow-the-kitten/, ,Cats
Christmas bears,http://www.amigurumi.com/Bears/Christmas-bears/, ,Bears
